Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
IMG/robocam_2017_06_04_11_06_23_322.jpg,0,1,0,2.594069,102.8241,88.86105,0.9410263,39.80073,359.705
IMG/robocam_2017_06_04_11_06_23_388.jpg,0,1,0,2.635698,102.9863,88.99786,0.9829648,39.79284,359.7389
IMG/robocam_2017_06_04_11_06_23_455.jpg,0,1,0,2.676668,103.1105,89.10269,1.043658,39.81535,359.7899
IMG/robocam_2017_06_04_11_06_23_521.jpg,0,1,0,2.732553,103.237,89.20941,1.130073,39.84051,359.8551
IMG/robocam_2017_06_04_11_06_23_589.jpg,0,1,0,2.773307,103.4089,89.35457,1.272298,39.87709,359.9642
IMG/robocam_2017_06_04_11_06_23_655.jpg,0,1,0,2.815124,103.5407,89.46465,1.383881,39.87925,-0.00144474
IMG/robocam_2017_06_04_11_06_23_721.jpg,0,1,0,2.870608,103.6736,89.57473,1.396131,39.86285,-0.002134854
IMG/robocam_2017_06_04_11_06_23_789.jpg,0,1,0,2.916055,103.8532,89.72345,1.352352,39.84388,-0.000967435
IMG/robocam_2017_06_04_11_06_23_855.jpg,0,1,0,2.957791,103.9906,89.83714,1.350339,39.82747,-0.000873973
IMG/robocam_2017_06_04_11_06_23_922.jpg,0,1,0,3.011825,104.1303,89.95257,1.371164,39.80727,-0.001346306
IMG/robocam_2017_06_04_11_06_23_989.jpg,0,1,0,3.051967,104.3192,90.10863,1.379717,39.7852,-0.001515141
IMG/robocam_2017_06_04_11_06_24_058.jpg,0,1,0,3.093951,104.463,90.22739,1.376892,39.77152,-0.00151626
IMG/robocam_2017_06_04_11_06_24_122.jpg,0,1,0,3.149079,104.6088,90.34769,1.37725,39.7581,-0.001405344
IMG/robocam_2017_06_04_11_06_24_189.jpg,0,1,0,3.189609,104.8063,90.51053,1.384454,39.7373,-0.001521976
IMG/robocam_2017_06_04_11_06_24_254.jpg,0,1,0,3.229594,104.9565,90.63435,1.384545,39.72293,-0.0015445
IMG/robocam_2017_06_04_11_06_24_322.jpg,0,1,0,3.283372,105.1087,90.75973,1.389377,39.70796,-0.001550428
IMG/robocam_2017_06_04_11_06_24_389.jpg,0,1,0,3.324216,105.3146,90.92921,1.394838,39.68737,-0.001569167
IMG/robocam_2017_06_04_11_06_24_456.jpg,0,1,0,3.363778,105.4712,91.05804,1.396234,39.67361,-0.001129878
IMG/robocam_2017_06_04_11_06_24_522.jpg,0,1,0,3.416978,105.6297,91.18835,1.400226,39.65755,-0.001137353
IMG/robocam_2017_06_04_11_06_24_589.jpg,0,1,0,3.456655,105.844,91.3644,1.404483,39.63578,-0.001157211
IMG/robocam_2017_06_04_11_06_24_655.jpg,0,1,0,3.496202,106.0069,91.49815,1.408479,39.61911,-0.001170771
IMG/robocam_2017_06_04_11_06_24_722.jpg,0,1,0,3.548847,106.1716,91.63329,1.408794,39.60113,-0.001647
IMG/robocam_2017_06_04_11_06_24_789.jpg,0,1,0,3.588094,106.3942,91.81583,1.416074,39.57811,-0.001554823
